20 0,20 0,20 0,20 0,20 0,20 0,20 0
n:20,n:20,n:20,n:20,n:20,n:20,n:20
1815816,1840642,1857617,1772918,1789075,1814780,1818981
1,1,1,1,1,1,1
2,2,2,2,2,2,2
4,4,4,4,4,4,4
8,8,8,8,8,8,8
16,16,16,16,16,16,16
32,32,32,32,32,32,32
64,64,64,64,64,64,64
128,128,128,128,128,128,128
256,256,256,256,256,256,256
512,512,512,512,512,512,512
1024,1024,1020,1024,1024,1024,1024
2048,2048,2040,1984,2048,2048,1984
4088,4006,4080,3968,3968,4088,3968
8176,8012,8160,7936,7936,8176,7936
16228,16024,16320,15872,15872,15844,15872
31510,32000,32578,31632,30336,31688,31632
62605,61768,64649,61368,60312,62098,63124
121812,122833,127103,118137,117308,120465,120741
236296,237592,241296,228888,233481,234700,238266
452337,461745,465007,445517,449506,453307,457710
878669,892567,894341,855569,866261,880319,875701
,,,,,,
242,243,247,246,237,238,248
878669,892567,894341,855569,866261,880319,875701
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
9,5,5,8,1,11,1
265,196,277,206,136,282,142
2764,2645,2937,2167,2080,2788,2111
13931,14488,14758,11758,12212,14037,12552
42651,44833,44841,38365,40000,42982,41214
89780,93337,93317,84261,86908,90265,89086
139714,143278,143498,134716,137431,140116,139847
168073,170535,170912,164804,166744,168278,168565
160559,161778,162093,159013,160008,160624,160975
123566,123996,124160,123048,123412,123578,123773
76978,77081,77136,76861,76952,76979,77043
38684,38699,38710,38668,38682,38684,38696
15499,15500,15501,15498,15499,15499,15500
4845,4845,4845,4845,4845,4845,4845
1140,1140,1140,1140,1140,1140,1140
190,190,190,190,190,190,190
20,20,20,20,20,20,20
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

