20 0,20 0,20 0,20 0,20 0,20 0,20 0
degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0,degeneracy:0
n:20,n:20,n:20,n:20,n:20,n:20,n:20
dominated:4 4 4 3 5 3 6 7 3 3 6 6 6 5 6 5 6 7 5 6 ,dominated:4 5 4 5 7 5 4 4 3 8 5 8 6 4 6 4 2 6 5 5 ,dominated:6 4 4 3 3 5 2 8 3 6 8 4 5 4 7 3 5 5 6 9 ,dominated:6 4 5 3 4 5 5 9 5 7 6 4 4 7 5 3 5 2 5 6 ,dominated:7 4 5 3 4 5 5 4 7 4 3 6 5 6 5 2 3 8 7 7 ,dominated:7 5 3 7 5 7 3 6 5 3 6 2 4 6 4 3 7 6 4 7 ,dominated:6 5 7 2 4 7 2 5 6 7 5 5 4 7 4 3 5 3 8 5 
15,15,18,17,16,21,14
504493,475291,415325,460735,425377,402113,367073
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,2,0,0,0,0,0
21,65,17,37,28,14,25
648,855,381,682,562,352,409
5555,5694,3398,5092,4196,3095,3050
22772,21526,15108,20162,16828,13993,12714
55651,51523,40011,49201,42341,37832,33456
91395,84726,70600,81659,72828,67685,60034
108322,101277,88953,98220,90521,86061,77484
96709,91309,83528,89078,84343,81407,74610
66616,63478,59926,62312,60233,58804,54830
35757,34367,33219,33942,33299,32804,31077
14925,14468,14218,14365,14231,14116,13570
4775,4670,4637,4655,4638,4622,4503
1136,1121,1119,1120,1119,1118,1102
190,189,189,189,189,189,188
20,20,20,20,20,20,20
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

