30 0,30 0,30 0,30 0,30 0,30 0,30 0
n:30,n:30,n:30,n:30,n:30,n:30,n:30
718735612,790093982,652459363,575146654,667794201,460342736,487997487
1,1,1,1,1,1,1
2,2,2,2,2,2,2
4,4,4,4,4,4,3
8,8,8,8,8,8,6
16,16,16,16,16,16,12
32,32,32,32,32,32,24
64,64,64,64,64,64,48
128,128,120,128,128,128,96
256,256,180,256,256,256,192
512,512,360,512,512,512,384
1024,1024,720,1024,1024,1024,768
2048,1984,1440,1920,2048,2048,1536
4096,3920,2880,3840,4096,4096,3072
8192,7840,5760,6720,8192,6144,6144
16384,15680,11520,13440,16384,12288,10752
32640,31360,23040,26880,30720,24576,16128
63248,62720,46080,42240,53760,49152,27648
118590,125440,92160,84480,101280,98304,55296
237180,243968,184320,168960,202560,196608,96648
466454,477952,368640,337920,405120,368640,193296
820406,930176,691200,591360,810240,725760,377964
1514464,1752704,1339200,1132032,1620480,1266432,755928
2479673,3505408,2354400,2264064,3050496,2134656,1325788
4842701,6399648,4708800,4528128,6100992,3201984,2651576
9443447,11222368,8877600,9056256,10594816,5518368,5191340
17262995,16720366,15844320,13392896,19432784,11036736,10382680
31512459,33292066,26349768,26214144,26406376,20958336,20765360
49781958,64216377,49183622,46054752,50856832,38325984,39601168
97617684,110233388,94889258,70239992,87895024,72406176,76201336
180252229,193600155,170265223,137109696,161517483,122521846,132617886
322256717,347248415,277218625,263874887,298682471,181482555,197714405
,,,,,,
104083,123518,98723,82664,97895,73012,77869
322256717,347248415,277218625,263874887,298682471,181482555,197714405
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
81,5,0,44,4,4,0
1903,554,101,1762,394,136,64
25323,15314,4632,25322,10487,2681,2364
209177,177736,71849,198678,121727,30858,35565
1140055,1142861,555175,1005821,796170,222713,284686
4328308,4682230,2594152,3589600,3358241,1078220,1403191
11975723,13332156,8192855,9539947,9920285,3688812,4688702
25065516,28018516,18771341,19596396,21701205,9297131,11355941
40918882,45379882,32737343,31957132,36591778,17856340,20899472
53395957,58453501,44951487,42204889,48974664,26857372,30227424
56772828,61259247,49776446,45813760,53158884,32319301,35190933
49891525,53081478,45208393,41315772,47520036,31623540,33535691
36600947,38442738,34062666,31176281,35352078,25451238,26452915
22550124,23417511,21438514,19760994,22025025,16972437,17384735
11694747,12026872,11304217,10529120,11520469,9410790,9542864
5098012,5200242,4989425,4704297,5053269,4337330,4369609
1857973,1882734,1834604,1751806,1849385,1654490,1660303
560484,565037,556729,538108,559322,517686,518412
137742,138340,137318,134182,137643,130907,130963
26916,26966,26886,26513,26912,26135,26137
4028,4030,4027,3999,4028,3971,3971
434,434,434,433,434,432,432
30,30,30,30,30,30,30
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

