25 90,25 90,25 90,25 90,25 90,25 90,25 90
n:25,n:25,n:25,n:25,n:25,n:25,n:25
elapsed time = 4045 msec.,elapsed time = 4019 msec.,elapsed time = 4042 msec.,elapsed time = 4048 msec.,elapsed time = 4057 msec.,elapsed time = 4048 msec.,elapsed time = 3992 msec.
33554432,33554432,33554432,33554432,33554432,33554432,33554432
1,1,1,1,1,1,1
25,25,25,25,25,25,25
300,300,300,300,300,300,300
2300,2300,2300,2300,2300,2300,2300
12650,12650,12650,12650,12650,12650,12650
53130,53130,53130,53130,53130,53130,53130
177100,177100,177100,177100,177100,177100,177100
480700,480700,480700,480700,480700,480700,480700
1081575,1081575,1081575,1081575,1081575,1081575,1081575
2042975,2042975,2042975,2042975,2042975,2042975,2042975
3268760,3268760,3268760,3268760,3268760,3268760,3268760
4457400,4457400,4457400,4457400,4457400,4457400,4457400
5200300,5200300,5200300,5200300,5200300,5200300,5200300
5200300,5200300,5200300,5200300,5200300,5200300,5200300
4457400,4457400,4457400,4457400,4457400,4457400,4457400
3268760,3268760,3268760,3268760,3268760,3268760,3268760
2042975,2042975,2042975,2042975,2042975,2042975,2042975
1081575,1081575,1081575,1081575,1081575,1081575,1081575
480700,480700,480700,480700,480700,480700,480700
177100,177100,177100,177100,177100,177100,177100
53130,53130,53130,53130,53130,53130,53130
12650,12650,12650,12650,12650,12650,12650
2300,2300,2300,2300,2300,2300,2300
300,300,300,300,300,300,300
25,25,25,25,25,25,25
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

