25 0,25 0,25 0,25 0,25 0,25 0,25 0
n:25,n:25,n:25,n:25,n:25,n:25,n:25
54425189,54947204,55769235,55318504,55634123,57688232,54895237
1,1,1,1,1,1,1
2,2,2,2,2,2,2
4,4,4,4,4,4,4
8,8,8,8,8,8,8
16,16,16,16,16,16,16
32,32,32,32,32,32,32
64,64,64,64,64,64,64
128,128,128,128,128,128,128
256,256,256,256,256,256,256
512,512,512,512,512,512,512
1024,1024,1024,1024,1024,1024,1024
1984,2048,2048,2048,2048,2048,1984
3968,4064,4096,4096,4096,4096,3968
7888,8128,8192,8192,8192,8160,7934
15776,16256,16128,16384,16384,16260,15868
31552,32512,32256,32704,32768,32520,31736
63104,65024,64512,65408,65536,64092,62708
122320,130040,128964,130568,126976,124648,121544
244640,260080,253572,261136,251840,249296,242864
489280,497888,500212,502044,503586,498526,485728
963852,959460,964622,1004088,1006932,979612,971104
1843374,1918512,1903712,1944012,1984300,1953656,1890096
3572994,3695824,3688600,3724220,3800659,3850019,3735272
7044231,7053095,7366723,7152852,7239474,7471559,7038512
13537566,13685993,13986744,13772468,13883782,14690240,13767571
26480613,26616233,26846807,26696237,26705503,27741453,26516301
,,,,,,
8532,8633,9262,8668,8776,9072,9103
26480613,26616233,26846807,26696237,26705503,27741453,26516301
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,1
12,13,19,26,59,12,57
682,631,719,940,1218,740,1302
10404,9660,10083,11863,12588,12265,13753
73773,71305,72571,79427,79018,88578,83147
313104,311547,315713,329647,324065,370204,328892
907159,914907,927558,940780,928755,1042842,923893
1938488,1961714,1989572,1985700,1973567,2160471,1948479
3210014,3244171,3287611,3257257,3253911,3475972,3210213
4257787,4291033,4340535,4292394,4300048,4499748,4251643
4625586,4648951,4691363,4644382,4657295,4796102,4618666
4175808,4188041,4215799,4183350,4194495,4269603,4171272
3159148,3163933,3177849,3161333,3167775,3199286,3157119
2009773,2011143,2016428,2010207,2012845,2022936,2009140
1074017,1074290,1075768,1074070,1074834,1077225,1073884
479482,479516,479804,479485,479635,480031,479465
176976,176978,177013,176976,176994,177035,176975
53124,53124,53126,53124,53125,53127,53124
12650,12650,12650,12650,12650,12650,12650
2300,2300,2300,2300,2300,2300,2300
300,300,300,300,300,300,300
25,25,25,25,25,25,25
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

