25 0,25 0,25 0,25 0,25 0,25 0,25 0
n:25,n:25,n:25,n:25,n:25,n:25,n:25
19735590,21854695,26176370,28877975,26416642,19866124,25769056
1,1,1,1,1,1,1
2,2,2,2,2,2,2
4,4,4,4,4,4,4
8,8,8,8,8,8,8
16,16,16,16,16,16,16
32,32,32,32,32,32,32
64,64,56,64,64,64,64
128,128,112,128,128,96,128
256,256,224,256,248,192,256
512,448,448,512,496,384,512
768,896,868,960,936,768,1024
1536,1760,1736,1920,1872,1536,1792
3072,3520,3472,3840,3744,3072,3584
6144,6160,6944,7680,7488,6144,7168
12288,12320,13640,13440,14976,9152,14336
23040,18480,27280,26880,29952,18304,21504
41472,35232,54560,50624,44928,32032,43008
82944,70464,109120,90272,79552,64064,75264
162048,140928,215600,179008,155056,127600,146496
313088,281856,326832,334656,292072,239016,279720
547904,537210,644952,604238,567810,478032,547416
946064,779960,1254644,1200412,1135620,781916,1094832
1510768,1438034,2055412,2146226,2106234,1395704,2067048
2670008,2826397,3732970,3803960,3940858,2729824,3935352
4695244,5625464,6676440,7147199,7009728,5315292,7115962
8718179,10075055,11050997,13265637,11024817,8662869,10413527
,,,,,,
2741,2837,3644,3888,3575,2700,3602
8718179,10075055,11050997,13265637,11024817,8662869,10413527
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,0,0,0,0,0,0
41,0,3,22,12,3,6
711,105,285,855,566,250,418
6842,3450,5468,11612,8435,4120,6597
40407,34414,45527,79057,59652,31175,48386
158377,171977,209160,319071,245608,138620,207483
437327,525766,611329,851986,666444,409420,585326
889270,1098728,1243526,1621576,1289541,863856,1170583
1375908,1681265,1868297,2315378,1875015,1364357,1746833
1659333,1969673,2158210,2568705,2122158,1663950,2016149
1586976,1818728,1968988,2266897,1913662,1600193,1844586
1217520,1347712,1442907,1615137,1394807,1229979,1358983
753869,809202,857057,936313,827710,761266,812996
377027,394649,413556,442314,400299,380060,395605
151560,155652,161411,169478,156944,152425,155822
48405,49061,50369,52059,49269,48570,49080
12032,12097,12306,12555,12118,12051,12098
2249,2252,2273,2296,2253,2250,2252
298,298,299,300,298,298,298
25,25,25,25,25,25,25
1,1,1,1,1,1,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

